OC,B11,B12,B4,B8,bai,bsi,slope,LST_Day_1km,elevation
0.25,0.2565,0.181,0.1238,0.2044,46.69013417,0.7908666,3.1591995,14943.75031,64
1.0,0.1563,0.0867,0.0803,0.2797,20.55237183,0.45578602,1.060394,15042.54949,51
1.0,0.1562,0.0924,0.0988,0.2336,33.18025963,0.5865031,1.7728771,14885.9487,65
0.16,0.1926,0.105,0.0762,0.2722,21.93209712,0.4803818,0.65850025,15040.20951,63
0.16,0.2552,0.23905,0.1663,0.1973,43.01633949,0.9289561,3.0897708,14996.21993,54
0.64,0.2219,0.1917,0.1128,0.16,98.38801723,0.8657947,1.7529132,15037.25338,53
0.64,0.17645,0.12475,0.112,0.2001,50.57654379,0.7287979,1.7683883,15052.96807,44
0.64,0.2653,0.2641,0.1516,0.2076,40.90260665,0.8812805,2.9280834,15051.62003,45
0.64,0.2418,0.2077,0.1366,0.2138,40.0096029,0.8168446,5.156326,15044.96064,49
0.64,0.1905,0.1184,0.1204,0.3056,16.46483151,0.56320757,2.1124985,15041.48365,47
0.64,0.1974,0.1604,0.1522,0.2344,30.17483181,0.7917933,3.821315,15040.36628,47
0.64,0.20965,0.17735,0.1163,0.156,105.4664231,0.8809059,5.573146,15054.34596,43
0.64,0.1997,0.1593,0.109,0.2434,29.65901866,0.6662528,1.124073,15049.08564,45
0.64,0.2161,0.1973,0.145,0.1794,61.41993464,0.9086806,1.620879,15051.68078,43
0.64,0.2157,0.1779,0.105,0.16,99.75063088,0.83722997,1.9730443,15052.6274,45
0.64,0.1951,0.1724,0.131,0.15,110.3630836,0.941067,4.5091977,15053.43421,38
0.64,0.272,0.2544,0.1622,0.2344,29.16795328,0.85229135,1.2958547,15054.12267,43
0.64,0.18765,0.1418,0.1448,0.2265,33.6368587,0.77817,3.0331802,15035.75235,46
0.64,0.1955,0.1651,0.1104,0.1932,56.02114775,0.76890874,1.2242411,15052.00968,43
0.64,0.2904,0.2377,0.181,0.2412,25.3842934,0.87429523,1.8620913,15053.11116,38
0.64,0.1994,0.163,0.12,0.2067,45.61858768,0.7654855,3.3903685,15053.4518,39
0.64,0.1734,0.1366,0.1126,0.2182,39.70459877,0.70236754,2.0442874,15049.3843,42
0.64,0.209,0.1378,0.0824,0.216,40.57492775,0.6223855,2.4152148,15047.38371,37
0.64,0.2205,0.1526,0.088,0.2327,33.36748852,0.6244485,2.6341026,14978.7139,51
0.64,0.2987,0.2908,0.1592,0.2171,35.47980477,0.88600117,1.3572321,14966.84178,53
0.64,0.2471,0.19355,0.1136,0.21225,42.79902036,0.75689995,1.9907502,14971.14843,55
0.64,0.21245,0.1436,0.09525,0.24175,30.25203668,0.61982614,5.0397367,15017.52594,102
0.64,0.23885,0.19895,0.1208,0.1868,60.56612031,0.82890475,1.152749,15025.15918,71
0.64,0.2098,0.1677,0.10095,0.1594,101.2016406,0.8213085,1.1895461,15020.74815,78
0.64,0.21055,0.1435,0.10785,0.23605,32.20070241,0.6622316,1.7052289,15023.04553,72
0.64,0.2126,0.137,0.0997,0.2326,33.56735238,0.64042205,0.7113078,15009.62671,46
0.64,0.1377,0.0815,0.0813,0.2146,41.23566957,0.5498142,1.3126111,14999.15031,47
0.64,0.1876,0.1506,0.1292,0.1782,67.45871594,0.8509732,1.9987394,15002.36807,46
0.64,0.2504,0.1984,0.1392,0.2592,24.26166723,0.7377622,1.3874948,14993.617,63
0.64,0.3291,0.3228,0.1692,0.2216,32.35910931,0.90374726,1.9115143,14982.49814,63
0.64,0.2397,0.1652,0.1132,0.1926,56.31582158,0.77808833,1.8077627,14975.78977,69
0.64,0.2763,0.2195,0.1394,0.2558,25.06893716,0.75510204,0.9742103,14985.06335,55
0.64,0.3189,0.291,0.1754,0.221,31.6394011,0.9109375,0.7323674,14974.04102,73
0.64,0.1028,0.0545,0.08205,0.1666,85.57421388,0.6175938,2.24371,14960.27458,58
0.64,0.2208,0.1454,0.1158,0.234,32.75934687,0.68845546,1.3035465,14960.569,57
0.64,0.2316,0.1623,0.11015,0.2468,28.57366175,0.6659741,2.4790525,14940.17902,69
0.64,0.2185,0.13785,0.09445,0.23725,31.79815536,0.6193015,1.2804546,14943.16831,65
0.64,0.272,0.2031,0.1444,0.2432,28.14237669,0.77862424,1.9087012,14957.74241,59
0.89,0.14145,0.0741,0.06705,0.2845,19.4227732,0.39361405,2.1166637,15024.46802,86
0.89,0.2007,0.1317,0.115,0.2868,19.35612293,0.58948624,2.3082745,15041.09771,59
0.89,0.1895,0.167,0.1242,0.1512,112.3206873,0.9151477,1.0617765,15054.71988,41
0.89,0.19905,0.1519,0.10095,0.225,36.72973089,0.6708676,1.6592472,15017.81445,98
1.03,0.225,0.1723,0.1324,0.2272,34.47610011,0.7627034,2.0563457,15002.731,46
0.32,0.1253,0.0635,0.0559,0.26395,22.96717081,0.36463583,1.4380782,15026.34692,92
0.32,0.1318,0.06905,0.06485,0.2893,18.58252158,0.37365705,1.5685139,15026.40714,90
0.32,0.28485,0.22625,0.1308,0.2316,32.89993144,0.7798405,1.9960091,15028.84087,64
0.32,0.32455,0.24735,0.1464,0.23645,30.0412495,0.81386936,3.154274,15036.84358,51
0.32,0.26305,0.21755,0.1282,0.2198,37.97764739,0.7905567,1.7735804,15046.80628,47
0.32,0.2066,0.1722,0.1115,0.1892,59.43575336,0.78500277,0.7984733,15039.66054,65
0.32,0.1602,0.0935,0.1406,0.2708,21.69903565,0.64260226,1.0776576,15038.8233,79
0.32,0.3185,0.2136,0.1478,0.2818,19.42498898,0.7295115,1.3126535,15042.37077,48
0.32,0.1715,0.1001,0.1234,0.2382,30.95707068,0.6606563,1.2613721,15042.2215,50
0.32,0.23365,0.1786,0.1286,0.2234,36.34048547,0.7641791,3.1070786,15048.50606,46
0.32,0.2916,0.2242,0.1132,0.321,14.64230779,0.6188555,1.4468516,15049.16742,47
0.32,0.1722,0.0942,0.0668,0.2718,21.75734751,0.43989068,1.7718086,14922.66377,52
0.32,0.22905,0.15465,0.1335,0.19,55.48697046,0.8360656,1.2294332,14986.09144,50
0.32,0.2777,0.23725,0.1604,0.24075,27.53400785,0.83190376,2.8705783,14979.82934,50
0.32,0.2371,0.1886,0.14,0.1958,49.89611185,0.85483867,2.211179,14983.12897,50
0.32,0.33605,0.3158,0.1729,0.2506,24.01376963,0.8628178,3.8839653,14983.53055,50
0.32,0.27665,0.23445,0.1512,0.2564,24.27514692,0.7856779,2.904356,14983.10652,52
0.32,0.2784,0.2612,0.1542,0.2135,37.73600833,0.87507904,2.8549702,14996.09326,57
0.32,0.2524,0.2291,0.1434,0.2042,44.09715534,0.8596815,4.363058,14983.08097,52
0.32,0.31215,0.25845,0.145,0.2137,38.98834821,0.8544954,4.2269626,14985.09971,56
0.32,0.2115,0.1484,0.134,0.241,29.48374057,0.7252183,4.248701,14983.31543,59
0.32,0.20985,0.1374,0.1085,0.2612,24.65866595,0.61690915,2.7187707,14953.53835,51
0.32,0.2631,0.21365,0.11345,0.2286,34.95664917,0.7396269,3.4871337,14920.30774,70
0.32,0.26215,0.19025,0.12425,0.27465,21.43039838,0.67648953,0.7391364,14934.38773,69
0.53,0.3417,0.27145,0.1473,0.2491,26.31849034,0.80443764,1.0500007,15025.43336,70
0.53,0.2834,0.2318,0.116,0.1688,82.68946421,0.8681977,0.9159677,15037.07997,55
0.53,0.28045,0.2006,0.1213,0.2695,22.55099845,0.68474793,0.12456671,15030.73993,60
0.53,0.2331,0.22005,0.1422,0.1907,53.0129148,0.8819233,1.3639245,15053.3584,44
0.53,0.1763,0.1385,0.1093,0.189,59.78183609,0.75664127,1.5872674,15054.23209,44
0.53,0.2363,0.234,0.1702,0.1862,47.95132994,0.96192294,1.8361083,15049.86723,47
0.53,0.2679,0.2376,0.1588,0.237,28.74683195,0.8352297,0.81808096,15051.69784,46
0.53,0.2497,0.2217,0.1326,0.2324,32.48385911,0.7802246,1.4906437,15042.28713,49
0.53,0.2502,0.2464,0.1458,0.207,42.18227439,0.86501986,3.5800915,15049.52487,45
0.53,0.2354,0.1892,0.13,0.199,49.45353845,0.82225657,2.007498,15051.22541,45
0.53,0.2239,0.156,0.1042,0.281,20.46721124,0.59542334,1.7156016,15052.70651,41
0.53,0.2474,0.238,0.1558,0.2154,36.68002012,0.86854875,0.74310416,15028.94031,45
0.53,0.1922,0.1716,0.11,0.1568,105.5939409,0.85749084,1.5940708,15049.67512,38
0.53,0.1811,0.1136,0.0994,0.2353,32.54101221,0.6104901,1.0493187,15047.32565,35
0.53,0.2604,0.178,0.1184,0.2678,22.97825725,0.6648721,2.2406573,14990.8553,49
0.53,0.199,0.1328,0.0819,0.2522,26.83234542,0.5576623,1.0439919,14990.67647,50
0.53,0.2464,0.1557,0.1204,0.294,18.12508346,0.61396486,2.106517,14923.33517,54
0.53,0.176,0.1019,0.0882,0.253,26.74638049,0.5356439,0.8256767,14907.51835,57
0.53,0.166,0.0901,0.0924,0.2636,24.09016467,0.515974,3.5326421,14907.54826,57
0.53,0.22575,0.1517,0.0992,0.2812,20.43732761,0.5795796,1.4489722,15018.45674,118
0.53,0.2891,0.2354,0.1325,0.2058,44.8151381,0.8338622,1.940825,15020.35041,82
0.53,0.2798,0.23325,0.1467,0.21985,36.05823855,0.8385566,2.382559,15018.31043,84
0.53,0.2828,0.2591,0.1296,0.279,20.47620848,0.72235644,2.9356487,14982.46286,64
0.53,0.326,0.2896,0.1562,0.2152,36.70333183,0.883122,0.81528986,14984.40693,61
0.53,0.1242,0.0839,0.1076,0.1998,51.0157232,0.67500883,2.2367072,14976.13043,66
0.53,0.2773,0.2526,0.1592,0.2054,40.57486273,0.89912665,0.9821521,14984.0504,57
0.53,0.2154,0.1482,0.1116,0.2226,37.63173085,0.70064723,1.5301418,14949.99994,56
0.53,0.2686,0.1852,0.1174,0.2158,40.68944087,0.75461346,0.96123105,14952.90282,64
0.53,0.3101,0.2287,0.114,0.2266,35.77617585,0.7526905,1.4325521,14952.92553,63
0.53,0.2451,0.19255,0.1257,0.2185,38.78563591,0.7742367,2.2242372,14955.52481,51
0.53,0.182,0.1273,0.0954,0.2042,48.04273907,0.67179483,3.2068245,14974.35249,50
0.53,0.248,0.1758,0.1264,0.221,37.56861916,0.76159275,1.9268174,14957.72195,59
0.78,0.2532,0.1566,0.104,0.2689,22.90677178,0.6124559,2.8155596,15031.47595,207
0.78,0.2335,0.1458,0.105,0.2686,22.9679378,0.6052124,3.3734164,15035.8776,175
0.78,0.1562,0.0821,0.076,0.2596,24.74257485,0.46268654,1.5437455,15036.36649,96
0.78,0.1863,0.1112,0.0899,0.2558,26.01480273,0.5479564,2.2143772,15037.75125,87
0.78,0.1491,0.0811,0.13,0.2543,25.8715551,0.62939775,0.6553146,15042.35807,49
0.78,0.1578,0.0893,0.139,0.2374,30.31060039,0.6988062,1.4751909,15044.3331,53
0.78,0.2716,0.21845,0.1406,0.2369,30.35641133,0.7885143,2.3789864,15048.35298,42
0.78,0.2036,0.1672,0.1166,0.2496,27.60622243,0.6809021,1.6985124,15045.83134,46
0.78,0.2218,0.1546,0.1032,0.2756,21.50833935,0.59925616,4.3912277,15041.31087,46
0.78,0.1671,0.1409,0.1332,0.1672,79.40238514,0.88964623,1.9924731,15040.89304,42
0.78,0.2538,0.2202,0.1596,0.2104,38.20830468,0.88202506,2.153513,15037.85322,40
0.78,0.2747,0.2757,0.15,0.1978,46.5357846,0.89904964,1.6806127,15028.73161,45
0.78,0.2322,0.18035,0.1175,0.1753,73.52757102,0.83748066,0.8233215,15020.4171,80
0.78,0.2519,0.1884,0.1246,0.2324,32.97400454,0.7438213,1.6906999,14976.71524,70
0.78,0.256,0.1687,0.1198,0.2514,27.00805006,0.68674123,2.280356,14978.71248,70
0.78,0.22905,0.166,0.1141,0.25855,25.23919953,0.65975744,1.0914842,14927.81291,74
0.78,0.1866,0.13215,0.09825,0.1947,55.10506184,0.7049105,2.1190114,14949.92315,57
0.39,0.2635,0.24,0.1152,0.1638,90.86382274,0.8796434,1.7477984,15033.34063,57
0.39,0.31605,0.2453,0.1495,0.2658,22.31949084,0.7724516,2.0473902,15028.83381,64
0.39,0.3233,0.27115,0.1575,0.24035,27.9077271,0.83802545,1.0666938,15029.26129,63
0.39,0.2156,0.1837,0.1124,0.155,108.9471745,0.87422496,0.28172663,15041.18489,49
0.39,0.2017,0.1726,0.111,0.1648,90.05730683,0.84054536,3.308955,15051.63019,39
0.39,0.1935,0.171,0.1116,0.1488,124.688279,0.8836773,1.7488781,15052.10323,38
0.39,0.2396,0.1912,0.105,0.1836,65.35111226,0.79028815,1.5268027,15046.08279,38
0.39,0.2195,0.1628,0.1126,0.2352,32.4109176,0.6919598,3.5834074,14995.37537,45
0.39,0.2214,0.1431,0.1062,0.2418,30.22090425,0.6477007,3.1103985,14908.07145,60
0.39,0.173,0.0995,0.0512,0.2394,28.93033006,0.44467396,0.9058146,14934.14855,48
0.39,0.1784,0.0998,0.1122,0.274,21.76523201,0.5671482,1.6014161,14893.55086,63
0.39,0.21565,0.1324,0.0903,0.2658,23.55838599,0.5592667,2.1633904,14899.33182,67
0.39,0.2153,0.15795,0.0952,0.1986,51.99397312,0.7099986,1.1108143,15021.75669,73
0.39,0.2281,0.18965,0.1423,0.21105,40.64149643,0.8284252,3.8852358,14980.07524,53
0.39,0.3193,0.2953,0.1554,0.2122,38.11847294,0.8880788,1.2574227,14963.84381,59
0.39,0.2832,0.1974,0.1102,0.216,40.91646029,0.7440735,2.0767179,14968.76073,66
0.67,0.1614,0.0839,0.118,0.2819,20.17609494,0.551941,2.3505213,15042.5474,48
0.67,0.1613,0.0852,0.1044,0.2864,19.50218123,0.5102261,2.8123612,15042.67136,52
0.67,0.1545,0.0842,0.1053,0.24525,29.11576604,0.5752011,2.0560017,15046.861,42
0.67,0.2032,0.1741,0.1224,0.2398,30.46012865,0.7163566,1.1773411,15044.90006,40
0.67,0.1904,0.1705,0.1265,0.1686,80.0242746,0.8758478,2.5823574,15052.23104,47
0.67,0.1813,0.15845,0.118,0.159,98.76544267,0.8708458,2.0502632,15052.24392,47
0.67,0.17625,0.13565,0.10345,0.2237,37.30008121,0.665368,2.2349894,15052.85521,43
0.67,0.2248,0.1568,0.1114,0.2808,20.45717426,0.61288846,2.0327828,15042.91631,49
0.67,0.2027,0.1595,0.1292,0.2072,44.40402402,0.78729206,0.33064896,15042.26692,52
0.67,0.219,0.2106,0.14,0.185,58.05515023,0.8862487,2.4603026,15048.93637,44
0.67,0.1988,0.1835,0.1332,0.1774,67.18173264,0.8775284,1.6105831,15050.63992,46
0.67,0.2282,0.1829,0.1154,0.198,51.86410014,0.7831452,2.3209913,15052.93961,41
0.67,0.2318,0.2146,0.1504,0.198,46.33027293,0.884634,2.9070199,15054.2993,38
0.67,0.2194,0.2064,0.1376,0.1722,71.41531329,0.9086107,0.7997468,15054.36387,42
0.67,0.2214,0.1679,0.1004,0.1656,89.67387097,0.8044977,1.752316,15048.81035,33
0.67,0.2215,0.1577,0.0932,0.1678,85.71125785,0.7708141,3.3991792,15049.75193,36
0.67,0.1744,0.1516,0.1014,0.1268,224.004296,0.90876436,2.330302,15047.87252,42
0.67,0.2015,0.1459,0.0688,0.2242,35.7972864,0.5801135,2.4159944,14985.0725,51
0.67,0.2289,0.2208,0.1222,0.1614,92.80913918,0.8974359,1.8543341,14978.10896,49
0.67,0.1797,0.1528,0.1112,0.1422,145.3007103,0.8949153,3.0087974,14992.84728,47
0.67,0.1587,0.0941,0.0843,0.2078,45.26662645,0.59092414,2.029929,14970.61909,52
0.67,0.2842,0.1901,0.1166,0.233,33.10758554,0.7248877,1.9938238,14921.73248,53
0.67,0.2759,0.23075,0.1198,0.18885,58.84304217,0.8354385,1.6996683,15011.25171,91
0.67,0.3112,0.23035,0.1432,0.2517,25.89658181,0.77491957,0.8951485,15020.87678,77
0.67,0.22855,0.1886,0.1499,0.2143,38.02497884,0.8401588,3.772606,14992.16418,49
0.67,0.1872,0.1175,0.1138,0.2164,40.56564884,0.6927224,2.7485163,14998.39768,51
0.67,0.1044,0.0599,0.0957,0.1682,85.28253522,0.682157,2.153999,14977.61999,53
0.67,0.3151,0.3011,0.1584,0.2186,35.00846326,0.8841639,0.24875921,14984.30241,60
0.67,0.3107,0.2935,0.1582,0.2222,33.67447651,0.8758968,1.4089237,14983.03206,59
0.67,0.2633,0.1954,0.1224,0.2078,44.74953624,0.7881944,0.74441075,14978.4072,71
0.67,0.2388,0.1674,0.1208,0.2254,35.98442541,0.7337067,1.5017807,14977.95298,68
0.67,0.2904,0.2211,0.1268,0.2157,40.06293053,0.79647434,2.5082054,14957.52391,56
0.23,0.1913,0.1188,0.1378,0.2818,19.75344528,0.64053917,1.0120853,15040.85766,59
0.23,0.2052,0.14235,0.11325,0.20455,47.46024903,0.73681176,3.1439767,14980.0508,46
0.23,0.29745,0.28915,0.1729,0.218,33.02683414,0.9110717,4.504364,14985.58864,53
0.23,0.2686,0.231,0.1488,0.2192,36.06712511,0.84362507,0.9147797,14984.32192,54
0.23,0.3039,0.2198,0.144,0.2644,22.87525397,0.7513424,1.8744963,15000.86487,49
0.23,0.2575,0.1903,0.1342,0.2765,20.81517007,0.69515854,2.30563,14994.78608,48
0.23,0.22035,0.1536,0.10865,0.21885,39.51297021,0.70412135,2.2726164,14942.51586,64
0.92,0.1945,0.1135,0.0951,0.2646,23.87479661,0.5517059,0.9090186,15042.88901,49
0.92,0.232,0.1799,0.1044,0.1976,52.76175621,0.75311255,1.6815826,15044.53786,42
0.92,0.29525,0.2467,0.1651,0.2387,27.64592209,0.84837246,0.9550384,15036.72245,42
0.92,0.1846,0.1533,0.1132,0.1508,118.7806331,0.8763565,2.4119387,15054.04116,39
0.92,0.1936,0.1778,0.1256,0.1648,85.92246046,0.88558084,2.5553668,15037.17672,42
0.92,0.2312,0.1622,0.0955,0.3008,17.23992643,0.55658746,2.9453907,15049.66758,46
0.92,0.1977,0.1703,0.118,0.1465,128.1024636,0.9100379,2.0243416,15049.3186,38
0.92,0.167,0.0976,0.0883,0.2569,25.70264279,0.52440053,1.574527,14891.44674,67
0.92,0.17385,0.0925,0.0687,0.35065,11.70177515,0.36375943,3.6178029,15018.57736,103
0.92,0.1987,0.1782,0.145,0.1758,64.78933681,0.9129943,2.775477,15002.33163,48
0.92,0.3148,0.2851,0.1598,0.2416,27.35633696,0.84469336,1.5587201,14982.21729,63
0.92,0.2981,0.2187,0.1276,0.2396,30.28658289,0.7556186,1.922922,14968.60743,70
0.46,0.12995,0.0637,0.0513,0.3028,16.30695433,0.313779,1.8178421,15026.29971,89
0.46,0.18525,0.1066,0.09715,0.302,17.07297041,0.49865395,1.0702116,15024.70109,88
0.46,0.24865,0.1734,0.1075,0.2245,36.87791541,0.7059563,1.3177615,15024.99956,70
0.46,0.3709,0.3022,0.1584,0.2482,25.75341642,0.83684593,2.5761776,15036.9133,53
0.46,0.2699,0.2347,0.1396,0.1938,51.35948522,0.8735122,0.7567496,15036.94981,55
0.46,0.24345,0.1761,0.11175,0.2254,36.36995449,0.71693647,1.2496378,15036.8072,50
0.46,0.254,0.1835,0.1254,0.2227,36.87798328,0.7604628,1.3336602,15037.07588,52
0.46,0.1551,0.0783,0.1007,0.2746,21.71380569,0.5072258,3.3762987,15041.37235,55
0.46,0.2248,0.1573,0.144,0.2556,24.87849247,0.7297166,1.3822558,15044.34586,53
0.46,0.18205,0.1391,0.1054,0.1482,128.0671937,0.8510268,3.9526546,15047.17963,45
0.46,0.1691,0.0979,0.0953,0.2186,39.72028721,0.61042655,0.9426479,15041.86687,54
0.46,0.1351,0.07555,0.0869,0.213,42.40772439,0.5629874,1.412342,15042.96066,48
0.46,0.236,0.2238,0.1432,0.192,51.83968675,0.8826359,2.4704106,15050.47123,44
0.46,0.2371,0.2197,0.1356,0.1924,53.19964381,0.8621694,0.42811123,15049.1251,46
