OC,B11,B12,B2,B3,B4,B8,bai,bsi,evi,lai,nbr,ndmi,ndvi,ndwi,savi,slope,LST_Day_1km,elevation
0.5,0.2896,0.2674,0.1302,0.1434,0.1526,0.214,37.76041323,0.87245536,0.133119404,0.211446017,-0.11092646,-0.15011917,0.16748498,0.19753778,0.106277399,2.0066447,14984.71818,53
0.5,0.3084,0.2422,0.1394,0.1514,0.167,0.2446,25.92946858,0.8405916,0.161518622,0.256258498,0.004930148,-0.11537072,0.18853256,0.23535353,0.127687587,1.6518471,14984.21176,53
0.5,0.2376,0.1998,0.1258,0.1366,0.1368,0.2126,40.58277147,0.8161979,0.173869126,0.265380639,0.031037811,-0.05553089,0.2169433,0.2176403,0.133859171,2.6356,14972.67408,63
0.5,0.2783,0.2151,0.1312,0.1472,0.1406,0.2502,26.43796002,0.76445305,0.246891355,0.368936386,0.0754352,-0.053169318,0.28045037,0.2591847,0.184553223,2.251758,14982.52731,64
0.5,0.2469,0.1671,0.1136,0.1272,0.1242,0.2062,45.53717239,0.7803375,0.186465349,0.292464518,0.104741514,-0.08982565,0.24818403,0.23695259,0.14812139,1.5720005,14978.22551,67
0.5,0.283,0.2007,0.0999,0.1158,0.1256,0.232,33.06948573,0.7541022,0.215149434,0.369580643,0.07233648,-0.099029124,0.29753914,0.33410004,0.186100745,2.0456688,14948.89434,72
0.5,0.2772,0.1984,0.0919,0.1114,0.1264,0.2234,36.5009881,0.7700332,0.187613642,0.339471865,0.059269775,-0.107471064,0.27730134,0.33452806,0.171216764,0.8802786,14952.78359,65
0.5,0.1949,0.1334,0.0883,0.0984,0.0935,0.1788,70.64296928,0.72677773,0.197902638,0.322718177,0.14541963,-0.043082695,0.31325743,0.29004332,0.165673957,3.6597257,14962.85001,52
0.75,0.157,0.0842,0.0907,0.1128,0.1184,0.2608,24.59467871,0.58724636,0.275765916,0.48457789,0.51188403,0.24844423,0.37552744,0.3961456,0.24294814,2.0903256,15042.57007,50
0.75,0.2416,0.2086,0.0956,0.1312,0.1344,0.3068,16.10471841,0.6655025,0.308695059,0.55433989,0.19053164,0.11889132,0.39075252,0.40091324,0.27475565,2.2049499,15044.46689,45
0.75,0.1434,0.1116,0.0925,0.0921,0.0948,0.1138,342.2923083,0.91570544,0.048035581,0.077013195,0.009760426,-0.11508555,0.091083385,0.10539094,0.040220139,2.7430253,15051.74047,41
0.75,0.2473,0.2104,0.1104,0.1388,0.1406,0.2318,32.08871752,0.79375845,0.182780202,0.312345354,0.0483944,-0.032352313,0.24489798,0.25094444,0.156808819,0.59772235,15053.87265,43
0.75,0.2238,0.2016,0.1066,0.1322,0.144,0.2092,41.32805574,0.8412853,0.127973627,0.227433095,0.018500473,-0.033718266,0.18459797,0.22554186,0.114627289,2.210765,15033.97216,41
0.75,0.1845,0.1765,0.0965,0.119,0.1274,0.1472,119.6945346,0.9388322,0.041671945,0.074730259,-0.090515874,-0.11245098,0.07210491,0.10593539,0.038342385,1.5377958,15049.98904,39
0.75,0.1733,0.1358,0.0679,0.0816,0.0787,0.196,52.77131554,0.64647377,0.253030759,0.442673818,0.18143457,0.061467633,0.42701128,0.4121037,0.22712017,2.6859777,15051.89629,39
0.75,0.2098,0.1885,0.0877,0.107,0.126,0.169,79.6368556,0.8797203,0.084829351,0.158911125,-0.054545462,-0.107708566,0.1457627,0.22463767,0.081132071,2.178685,15049.3028,40
0.75,0.2236,0.1742,0.0785,0.101,0.1038,0.2536,26.66993782,0.64983636,0.290839913,0.520430583,0.18560076,0.062866725,0.41913822,0.43034405,0.262071383,2.4291008,15026.03271,41
0.75,0.1685,0.1113,0.0755,0.0926,0.0916,0.1724,78.71338581,0.71519214,0.174778271,0.308369609,0.21536835,0.01144028,0.30606058,0.30113205,0.158638738,1.247787,15023.85609,41
0.75,0.1824,0.1454,0.09,0.101,0.1028,0.1584,103.1949165,0.81698483,0.126340676,0.21282354,0.0427913,-0.070422545,0.21286371,0.22127986,0.109563852,1.3670813,14978.12317,50
0.75,0.197,0.1299,0.0792,0.0962,0.0926,0.2285,35.15308204,0.62081474,0.285480189,0.489191293,0.27511162,0.07403055,0.42323261,0.40745303,0.248264507,1.8483242,14973.64524,52
0.75,0.2244,0.1925,0.0817,0.0989,0.1102,0.1491,124.3340194,0.88612413,0.081207468,0.14919984,-0.12704915,-0.20160641,0.15001929,0.20241939,0.076847101,1.5838006,14968.64995,55
0.75,0.26125,0.17685,0.08805,0.11265,0.116,0.3158,15.22309933,0.59443825,0.369609886,0.647854855,0.28204608,0.09453257,0.46271425,0.47415102,0.321635565,0.29672873,15018.45418,120
